,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
0,ADQ040,Music,Folk 5,Schnit. 2,-0.00188157801086138,-0.002265570361167989,Folk,Schnittke
1,ADQ038,Music,Folk 5,Schnit. 2,-0.0017725102557960507,0.008837027705626109,Folk,Schnittke
2,AER090,Music,Folk 5,Schnit. 2,0.0006068871366828038,0.0132667720637483,Folk,Schnittke
3,ADQ004,Music,Folk 5,Schnit. 2,0.012167176718275958,0.015140459768661881,Folk,Schnittke
4,ADR069,Music,Folk 5,Schnit. 2,2.248834944762199e-06,-0.003744279777738987,Folk,Schnittke
5,ADQ062,Music,Folk 5,Schnit. 2,0.010666671916864826,0.00044884764266504276,Folk,Schnittke
6,ADQ052,Music,Folk 5,Schnit. 2,-0.0016599575227834232,0.0053338905603877535,Folk,Schnittke
7,ADQ016,Music,Folk 5,Schnit. 2,0.011025077938990843,0.00222457269065461,Folk,Schnittke
8,ADQ009,Music,Folk 5,Schnit. 2,-0.009111399584157198,0.008961458480232234,Folk,Schnittke
9,ADQ026,Music,Folk 5,Schnit. 2,0.0036451121245941387,0.03269441025955432,Folk,Schnittke
10,ADR071,Music,Folk 5,Schnit. 2,-0.007635255539715391,-0.003544953429351678,Folk,Schnittke
11,ADQ025,Music,Folk 5,Schnit. 2,0.014330482395859842,0.0112917597420651,Folk,Schnittke
12,ADQ033,Music,Folk 5,Schnit. 2,-0.012096005295160594,0.0033405260264760908,Folk,Schnittke
13,ADQ053,Music,Folk 5,Schnit. 2,-0.005635887616840829,0.002244436825196219,Folk,Schnittke
14,AEQ083,Music,Folk 5,Schnit. 2,0.00040647800379525143,-0.013386461751012073,Folk,Schnittke
15,ADQ015,Music,Folk 5,Schnit. 2,-0.0009774466180912035,0.00338315741203926,Folk,Schnittke
16,ADQ013,Music,Folk 5,Schnit. 2,-0.008537398837817812,0.004129070098422235,Folk,Schnittke
17,ADQ012,Music,Folk 5,Schnit. 2,0.005782083027238519,0.0068200984844494356,Folk,Schnittke
18,ADR070,Music,Folk 5,Schnit. 2,-0.003982057393257008,0.0037136690942953855,Folk,Schnittke
19,ADQ037,Music,Folk 5,Schnit. 2,-0.0036024666168575892,0.0002937464436947225,Folk,Schnittke
20,ADQ050,Music,Folk 5,Schnit. 2,0.008414638121916578,0.0005845125354441454,Folk,Schnittke
21,ADQ054,Music,Folk 5,Schnit. 2,0.0021821304260575803,0.006471952974313412,Folk,Schnittke
22,ADQ063,Music,Folk 5,Schnit. 2,-0.002312294061712103,0.0017609453231312092,Folk,Schnittke
23,ADQ031,Music,Folk 5,Schnit. 2,0.008022362012685292,0.007409843217259021,Folk,Schnittke
24,ADQ041,Music,Folk 5,Schnit. 2,0.009561380963300553,0.0184844104694189,Folk,Schnittke
25,ADQ020,Music,Folk 5,Schnit. 2,-0.014030570249273499,-0.0036554990781537343,Folk,Schnittke
26,ADQ019,Music,Folk 5,Schnit. 2,0.0016404639051423625,0.01254136080994401,Folk,Schnittke
27,ADQ060,Music,Folk 5,Schnit. 2,0.002338396781017057,0.019522436772711718,Folk,Schnittke
28,ADQ027,Music,Folk 5,Schnit. 2,0.0086928845303142,0.00586826023494036,Folk,Schnittke
29,ADQ046,Music,Folk 5,Schnit. 2,0.016775634029195102,-0.010039049564824518,Folk,Schnittke
30,ADQ028,Music,Folk 5,Schnit. 2,-0.0025863545503601185,0.008535668881139465,Folk,Schnittke
31,AEQ080,Music,Folk 5,Schnit. 2,0.014133205216892444,-0.008574873942031134,Folk,Schnittke
32,ADQ055,Music,Folk 5,Schnit. 2,0.029970813763090503,0.019456953969188125,Folk,Schnittke
33,ADQ010,Music,Folk 5,Schnit. 2,-0.004826502814707961,0.023196363406318303,Folk,Schnittke
34,ADR067,Music,Folk 5,Schnit. 2,0.0003575048667520499,0.003412059785809035,Folk,Schnittke
35,ADQ049,Music,Folk 5,Schnit. 2,0.007761660295413595,-0.007836001900677668,Folk,Schnittke
36,ADQ036,Music,Folk 5,Schnit. 2,0.008592124185843068,0.0046369628593892044,Folk,Schnittke
37,ADQ008,Music,Folk 5,Schnit. 2,0.014972765084320295,-0.007598830207561187,Folk,Schnittke
38,ADQ042,Music,Folk 5,Schnit. 2,0.004466873757484672,-0.000641558762949676,Folk,Schnittke
39,ADQ005,Music,Folk 5,Schnit. 2,-0.0013771752409310696,-0.019135312802780413,Folk,Schnittke
40,ADQ059,Music,Folk 5,Schnit. 2,-0.009716385266225525,-0.008531225983098169,Folk,Schnittke
41,ADQ006,Music,Folk 5,Schnit. 2,0.0125429744495394,0.004609201488623133,Folk,Schnittke
42,AEQ087,Music,Folk 5,Schnit. 2,0.004243453764711491,0.004861837189632119,Folk,Schnittke
43,ADQ030,Music,Folk 5,Schnit. 2,0.0019322588204623236,0.027777877038530904,Folk,Schnittke
