,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
0,Social,0.06194,1,455,0.06194,14.33363,0.00017,0.03054,
1,Event_Type,3.33121,3,1365,1.1104,306.139,0.0,0.40221,0.68419
2,Interaction,0.02487,3,1365,0.00829,2.28564,0.0771,0.005,
