,Source,SS,DF,MS,F,p-unc,np2
0,Social_Cat,0.04033,2.0,0.02016,3.65834,0.02582,0.00099
1,Position,0.08886,1.0,0.08886,16.12349,6e-05,0.00217
2,Social_Cat * Position,0.02873,2.0,0.01436,2.60623,0.07388,0.0007
3,Residual,40.84001,7410.0,0.00551,,,
