,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,eta-square
0,Event,Bach,Beeth. 1,True,True,-0.3819793167913278,65.0,two-sided,0.7037227049100339,1.0,bonf,0.145,0.00046746885687767165
1,Event,Bach,Beeth. 2,True,True,-2.9427392011302143,65.0,two-sided,0.004505807528208809,0.4100284850670016,bonf,6.774,0.027930705060309285
2,Event,Bach,Beeth. 3,True,True,3.172445134404848,65.0,two-sided,0.002308470776022272,0.21007084061802675,bonf,12.252,0.022060321076019344
3,Event,Bach,Beeth. 4,True,True,-2.3031966688160925,65.0,two-sided,0.024476662941211688,1.0,bonf,1.572,0.010184494435787554
4,Event,Bach,Folk 1,True,True,-3.658388222140198,65.0,two-sided,0.0005101588198587624,0.04642445260714738,bonf,47.656,0.02177066856597337
5,Event,Bach,Folk 2,True,True,-7.516415770230992,65.0,two-sided,2.109960814588899e-10,1.920064341275898e-08,bonf,4.809e+07,0.23158665288607455
6,Event,Bach,Folk 3,True,True,-6.457058320246827,65.0,two-sided,1.561144566127574e-08,1.4206415551760923e-06,bonf,7.898e+05,0.1572033811716339
7,Event,Bach,Folk 4,True,True,0.5264082957387085,65.0,two-sided,0.6003962738615655,1.0,bonf,0.154,0.0009047488677894723
8,Event,Bach,Folk 5,True,True,-3.7283083464328457,65.0,two-sided,0.00040654243920223965,0.03699536196740381,bonf,58.574,0.03809118005515508
9,Event,Bach,Folk 6,True,True,-7.659329228694049,65.0,two-sided,1.176134973250802e-10,1.0702828256582297e-08,bonf,8.421e+07,0.25821865137218464
10,Event,Bach,Schnit. 1,True,True,-3.0991780774775495,65.0,two-sided,0.0028667666297201525,0.2608757633045339,bonf,10.105,0.011808485383481128
11,Event,Bach,Schnit. 2,True,True,-2.418864280728996,65.0,two-sided,0.018377920698265045,1.0,bonf,2.003,0.014015035331489184
12,Event,Bach,Schnit. 3,True,True,-0.37331681655247695,65.0,two-sided,0.7101274335396641,1.0,bonf,0.144,0.0002902083209921936
13,Event,Beeth. 1,Beeth. 2,True,True,-3.2435733311776995,65.0,two-sided,0.0018653368674782331,0.16974565494051921,bonf,14.818,0.028750532819332056
14,Event,Beeth. 1,Beeth. 3,True,True,4.61693008549429,65.0,two-sided,1.8891354080053485e-05,0.0017191132212848671,bonf,987.307,0.043925530103582
15,Event,Beeth. 1,Beeth. 4,True,True,-2.1599058669218714,65.0,two-sided,0.0344736366482171,1.0,bonf,1.181,0.0094133212883229
16,Event,Beeth. 1,Folk 1,True,True,-2.8294684215207533,65.0,two-sided,0.0061951411064209184,0.5637578406843036,bonf,5.122,0.022323917989845524
17,Event,Beeth. 1,Folk 2,True,True,-7.762905869192123,65.0,two-sided,7.699049610254093e-11,7.006135145331224e-09,bonf,1.264e+08,0.238944901490581
18,Event,Beeth. 1,Folk 3,True,True,-5.913189330627476,65.0,two-sided,1.3648872804338867e-07,1.242047425194837e-05,bonf,1.01e+05,0.16163596983762274
19,Event,Beeth. 1,Folk 4,True,True,0.8668964877688108,65.0,two-sided,0.3891876857458322,1.0,bonf,0.193,0.003596594746509999
20,Event,Beeth. 1,Folk 5,True,True,-3.1285279521292972,65.0,two-sided,0.0026294671969526724,0.2392815149226932,bonf,10.912,0.0404242623886119
21,Event,Beeth. 1,Folk 6,True,True,-7.512914368090694,65.0,two-sided,2.140380563831546e-10,1.947746313086707e-08,bonf,4.744e+07,0.26232948145873064
22,Event,Beeth. 1,Schnit. 1,True,True,-1.812514590327399,65.0,two-sided,0.0745251883899378,1.0,bonf,0.631,0.010919592932967959
23,Event,Beeth. 1,Schnit. 2,True,True,-2.2265548586661397,65.0,two-sided,0.029448489459693375,1.0,bonf,1.346,0.01341228069329439
24,Event,Beeth. 1,Schnit. 3,True,True,0.04483776412620958,65.0,two-sided,0.9643740892760928,1.0,bonf,0.135,9.06633379567342e-06
25,Event,Beeth. 2,Beeth. 3,True,True,5.37181777523968,65.0,two-sided,1.124498267223367e-06,0.0001023293423173264,bonf,1.381e+04,0.0956633130704858
26,Event,Beeth. 2,Beeth. 4,True,True,2.0338808751509334,65.0,two-sided,0.04604901773300011,1.0,bonf,0.93,0.008280232227911414
27,Event,Beeth. 2,Folk 1,True,True,0.6100055782109802,65.0,two-sided,0.5439848895153392,1.0,bonf,0.161,0.0009743576940965996
28,Event,Beeth. 2,Folk 2,True,True,-6.806216375407071,65.0,two-sided,3.8106783551870505e-09,3.467717303220216e-07,bonf,3.025e+06,0.15958946394047693
29,Event,Beeth. 2,Folk 3,True,True,-4.937698090088851,65.0,two-sided,5.81139592012864e-06,0.0005288370287317062,bonf,2961.897,0.09276017992005317
30,Event,Beeth. 2,Folk 4,True,True,2.956302610299073,65.0,two-sided,0.004335027640992934,0.394487515330357,bonf,7.009,0.04130348083587288
31,Event,Beeth. 2,Folk 5,True,True,-0.4802038795494369,65.0,two-sided,0.632694575928375,1.0,bonf,0.151,0.00075509378747141
32,Event,Beeth. 2,Folk 6,True,True,-6.829216563561861,65.0,two-sided,3.4713379809420485e-09,3.1589175626572643e-07,bonf,3.307e+06,0.20043618485648718
33,Event,Beeth. 2,Schnit. 1,True,True,1.0991878310928718,65.0,two-sided,0.27574078194145407,1.0,bonf,0.24,0.0045596988169338305
34,Event,Beeth. 2,Schnit. 2,True,True,1.205070645218239,65.0,two-sided,0.23254510903507217,1.0,bonf,0.269,0.0035070102981253773
35,Event,Beeth. 2,Schnit. 3,True,True,2.3732149988593445,65.0,two-sided,0.020600477106957123,1.0,bonf,1.818,0.025344424347005564
36,Event,Beeth. 3,Beeth. 4,True,True,-6.696607215750471,65.0,two-sided,5.9399400348356664e-09,5.405345431700457e-07,bonf,1.981e+06,0.07961171611643753
37,Event,Beeth. 3,Folk 1,True,True,-6.053847154064273,65.0,two-sided,7.822006221819194e-08,7.118025661855466e-06,bonf,1.711e+05,0.09348994529660018
38,Event,Beeth. 3,Folk 2,True,True,-8.151526254632348,65.0,two-sided,1.5705982088840197e-11,1.429244370084458e-09,bonf,5.82e+08,0.2931526353368986
39,Event,Beeth. 3,Folk 3,True,True,-6.824833414473838,65.0,two-sided,3.5335998227272057e-09,3.2155758386817573e-07,bonf,3.251e+06,0.21560182137304323
40,Event,Beeth. 3,Folk 4,True,True,-2.24278346706836,65.0,two-sided,0.028327105756362565,1.0,bonf,1.39,0.016914231832444025
41,Event,Beeth. 3,Folk 5,True,True,-5.197114789973492,65.0,two-sided,2.1907000342839318e-06,0.00019935370311983778,bonf,7383.398,0.11383585818501854
42,Event,Beeth. 3,Folk 6,True,True,-8.038346212770374,65.0,two-sided,2.49494858481124e-11,2.2704032121782283e-09,bonf,3.73e+08,0.30454849984996146
43,Event,Beeth. 3,Schnit. 1,True,True,-5.644617828067128,65.0,two-sided,3.9140582928867025e-07,3.561793046526899e-05,bonf,3.732e+04,0.07018106497178712
44,Event,Beeth. 3,Schnit. 2,True,True,-5.622232217525765,65.0,two-sided,4.27065766176347e-07,3.886298472204758e-05,bonf,3.437e+04,0.07629371088592421
45,Event,Beeth. 3,Schnit. 3,True,True,-3.013999290130787,65.0,two-sided,0.0036735359471882245,0.33429177119412845,bonf,8.112,0.031910241091877185
46,Event,Beeth. 4,Folk 1,True,True,-1.396240802175151,65.0,two-sided,0.16739227644471968,1.0,bonf,0.34,0.0039432615180420676
47,Event,Beeth. 4,Folk 2,True,True,-7.490072607397087,65.0,two-sided,2.349864854787314e-10,2.1383770178564555e-08,bonf,4.338e+07,0.20715255443449276
48,Event,Beeth. 4,Folk 3,True,True,-5.975289221039446,65.0,two-sided,1.067878851145816e-07,9.717697545426926e-06,bonf,1.274e+05,0.13235758060582065
49,Event,Beeth. 4,Folk 4,True,True,2.5207031645756044,65.0,two-sided,0.014175469622100062,1.0,bonf,2.5,0.0205470880476006
50,Event,Beeth. 4,Folk 5,True,True,-2.0602617686232896,65.0,two-sided,0.04338090725327058,1.0,bonf,0.977,0.014946238260275356
51,Event,Beeth. 4,Folk 6,True,True,-7.347438777685079,65.0,two-sided,4.208580665422856e-10,3.829808405534799e-08,bonf,2.483e+07,0.23781625109352633
52,Event,Beeth. 4,Schnit. 1,True,True,-0.38329434252817485,65.0,two-sided,0.7027522878096398,1.0,bonf,0.145,0.0003780054199444808
53,Event,Beeth. 4,Schnit. 2,True,True,-0.7465317849560108,65.0,two-sided,0.4580379605980083,1.0,bonf,0.176,0.0008891677682074599
54,Event,Beeth. 4,Schnit. 3,True,True,1.6325312976889454,65.0,two-sided,0.1074031721190352,1.0,bonf,0.474,0.00784875065906573
55,Event,Folk 1,Folk 2,True,True,-7.377064099899371,65.0,two-sided,3.728968631371665e-10,3.393361454548215e-08,bonf,2.788e+07,0.17796533089180605
56,Event,Folk 1,Folk 3,True,True,-5.489801495662953,65.0,two-sided,7.138300395070839e-07,6.495853359514463e-05,bonf,2.118e+04,0.10749912894115689
57,Event,Folk 1,Folk 4,True,True,3.2762355594912114,65.0,two-sided,0.001689840547844146,0.15377548985381728,bonf,16.187,0.034958141184618104
58,Event,Folk 1,Folk 5,True,True,-1.0656397633345418,65.0,two-sided,0.2905289355945207,1.0,bonf,0.232,0.0036535115996324885
59,Event,Folk 1,Folk 6,True,True,-7.077342143613251,65.0,two-sided,1.2662588747343065e-09,1.1522955760082188e-07,bonf,8.659e+06,0.21512599450659836
60,Event,Folk 1,Schnit. 1,True,True,0.6963967192685036,65.0,two-sided,0.48866330801806124,1.0,bonf,0.17,0.0015454911758657367
61,Event,Folk 1,Schnit. 2,True,True,0.6343588634860892,65.0,two-sided,0.5280730367527533,1.0,bonf,0.164,0.000912243447846374
62,Event,Folk 1,Schnit. 3,True,True,2.18270091300389,65.0,two-sided,0.032676387964440286,1.0,bonf,1.234,0.01918079595223164
63,Event,Folk 2,Folk 3,True,True,2.5516088161071484,65.0,two-sided,0.01308390357457,1.0,bonf,2.678,0.009329031699115168
64,Event,Folk 2,Folk 4,True,True,7.069660132010947,65.0,two-sided,1.3064921669038732e-09,1.1889078718825246e-07,bonf,8.404e+06,0.2491732193993268
65,Event,Folk 2,Folk 5,True,True,5.688021379087057,65.0,two-sided,3.304325652021506e-07,3.0069363433395706e-05,bonf,4.379e+04,0.1489968216464842
66,Event,Folk 2,Folk 6,True,True,-3.061896206294822,65.0,two-sided,0.003197061480549018,0.29093259472996064,bonf,9.174,0.015857383738241183
67,Event,Folk 2,Schnit. 1,True,True,6.312505921919322,65.0,two-sided,2.7886449940483114e-08,2.5376669445839634e-06,bonf,4.551e+05,0.19175975282475985
68,Event,Folk 2,Schnit. 2,True,True,7.202887870720929,65.0,two-sided,7.591570646536537e-10,6.908329288348249e-08,bonf,1.412e+07,0.18890311481399116
69,Event,Folk 2,Schnit. 3,True,True,6.823070981890839,65.0,two-sided,3.5589470771722535e-09,3.2386418402267505e-07,bonf,3.229e+06,0.2308709779565051
70,Event,Folk 3,Folk 4,True,True,5.887193808130969,65.0,two-sided,1.5122624542500627e-07,1.3761588333675571e-05,bonf,9.164e+04,0.17287129606483945
71,Event,Folk 3,Folk 5,True,True,4.207877450151303,65.0,two-sided,8.071674848331777e-05,0.007345224111981917,bonf,257.482,0.0836588330148267
72,Event,Folk 3,Folk 6,True,True,-4.917131145450698,65.0,two-sided,6.273654769479653e-06,0.0005709025840226485,bonf,2757.5,0.04288755019602916
73,Event,Folk 3,Schnit. 1,True,True,5.150608872486912,65.0,two-sided,2.6128869866691306e-06,0.00023777271578689089,bonf,6258.725,0.11999510864617452
74,Event,Folk 3,Schnit. 2,True,True,5.549313221983981,65.0,two-sided,5.669391310210993e-07,5.159146092292003e-05,bonf,2.632e+04,0.11730097415869634
75,Event,Folk 3,Schnit. 3,True,True,5.667316181633598,65.0,two-sided,3.5825024611707416e-07,3.260077239665375e-05,bonf,4.057e+04,0.15555656843459345
76,Event,Folk 4,Folk 5,True,True,-4.310261849751549,65.0,two-sided,5.644780961929895e-05,0.005136750675356204,bonf,358.113,0.053984538637597446
77,Event,Folk 4,Folk 6,True,True,-7.281584284103018,65.0,two-sided,5.50676491994846e-10,5.011156077153099e-08,bonf,1.92e+07,0.2712142418882498
