,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,eta-square
0,Event,Bach,Beethoven,True,True,-0.39760568027488374,70.0,two-sided,0.6921307814755449,1.0,bonf,0.141,0.0003067732275387938
1,Event,Bach,Clapping,True,True,-20.965429356632583,70.0,two-sided,6.853147243273715e-32,1.4391609210874801e-30,bonf,4.091e+28,0.7554654717258599
2,Event,Bach,Folk,True,True,-7.288991956010476,70.0,two-sided,3.7025460687358257e-10,7.775346744345234e-09,bonf,2.777e+07,0.13545385981711627
3,Event,Bach,Schnittke,True,True,-2.133194889856532,70.0,two-sided,0.0364161114107253,0.7647383396252313,bonf,1.094,0.005112659974933958
4,Event,Bach,Speech,True,True,-8.155325447501616,70.0,two-sided,9.453471810893466e-12,1.9852290802876278e-10,bonf,9.41e+08,0.2748393905818154
5,Event,Bach,Survey,True,True,-11.265757579307405,70.0,two-sided,2.230748703666282e-17,4.684572277699192e-16,bonf,2.636e+14,0.435498649887753
6,Event,Beethoven,Clapping,True,True,-21.010835617248173,70.0,two-sided,6.011933553969973e-32,1.2625060463336944e-30,bonf,4.652e+28,0.7555765780160744
7,Event,Beethoven,Folk,True,True,-7.463507507246008,70.0,two-sided,1.7721806948420408e-10,3.7215794591682856e-09,bonf,5.628e+07,0.14806499256404865
8,Event,Beethoven,Schnittke,True,True,-1.6017484203011636,70.0,two-sided,0.11371477180691436,1.0,bonf,0.44,0.004240118280210914
9,Event,Beethoven,Speech,True,True,-7.952630333744688,70.0,two-sided,2.233239101939097e-11,4.689802114072104e-10,bonf,4.115e+08,0.27789877935114526
10,Event,Beethoven,Survey,True,True,-11.409295428847567,70.0,two-sided,1.2514374599272387e-17,2.628018665847201e-16,bonf,4.624e+14,0.44342212728219393
11,Event,Clapping,Folk,True,True,20.253433427915454,70.0,two-sided,5.490805698863787e-31,1.1530691967613952e-29,bonf,5.309e+27,0.7439623836675353
12,Event,Clapping,Schnittke,True,True,20.95070949335079,70.0,two-sided,7.150681955360738e-32,1.501643210625755e-30,bonf,3.924e+28,0.7543379781500832
13,Event,Clapping,Speech,True,True,18.70640028469086,70.0,two-sided,6.074359421058728e-29,1.2756154784223327e-27,bonf,5.254e+25,0.7062912468531715
14,Event,Clapping,Survey,True,True,18.436320452671282,70.0,two-sided,1.4192261243208035e-28,2.9803748610736874e-27,bonf,2.287e+25,0.701394012634181
15,Event,Folk,Schnittke,True,True,5.960834670759957,70.0,two-sided,9.18528086013336e-08,1.9289089806280057e-06,bonf,1.447e+05,0.11383796187737422
16,Event,Folk,Speech,True,True,-6.461931555469787,70.0,two-sided,1.1773182933380486e-08,2.472368416009902e-07,bonf,1.019e+06,0.1468918109811342
17,Event,Folk,Survey,True,True,-7.974992937654761,70.0,two-sided,2.031195266915349e-11,4.265510060522233e-10,bonf,4.508e+08,0.28152338608183347
18,Event,Schnittke,Speech,True,True,-7.800087982669115,70.0,two-sided,4.2636015670179627e-11,8.953563290737721e-10,bonf,2.21e+08,0.26244601296080894
19,Event,Schnittke,Survey,True,True,-11.03174269254494,70.0,two-sided,5.751891645327627e-17,1.2078972455188017e-15,bonf,1.05e+14,0.42532294380590746
20,Event,Speech,Survey,True,True,-1.3630626662909908,70.0,two-sided,0.17723132478271417,1.0,bonf,0.316,0.010110237381838085
