,Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2
0,aware_movement,0.69444,3,8,0.23148,1.94728,0.20061,,0.42204
1,Music,0.25674,3,24,0.08558,11.68807,6e-05,0.01094,0.59366
2,Interaction,0.22014,9,24,0.02446,3.34061,0.00873,,0.55609
