,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
78,ADQ001,Speech,Speech,Speech 1,-0.008766992130842748,Speech
79,ADQ003,Speech,Speech MC1,Speech 2,0.014943686025076735,Speech
80,ADQ004,Speech,Speech MC1,Speech 2,0.015406485700444313,Speech
81,ADQ005,Speech,Speech MC1,Speech 2,0.008786497849315154,Speech
82,ADQ006,Speech,Speech MC1,Speech 2,0.010135932178316315,Speech
83,ADQ007,Speech,Speech MC1,Speech 2,0.012041527838151982,Speech
84,ADQ008,Speech,Speech MC1,Speech 2,0.000535309214547561,Speech
85,ADQ009,Speech,Speech MC1,Speech 2,-0.000480372162676615,Speech
86,ADQ010,Speech,Speech MC1,Speech 2,0.01433578234990672,Speech
87,ADQ011,Speech,Speech MC1,Speech 2,0.005675192558641093,Speech
88,ADQ012,Speech,Speech MC1,Speech 2,0.00781636461072035,Speech
89,ADQ013,Speech,Speech MC1,Speech 2,0.020731847203787034,Speech
90,ADQ014,Speech,Speech MC1,Speech 2,0.008295991894324018,Speech
91,ADQ015,Speech,Speech MC1,Speech 2,0.016741287550719713,Speech
92,ADQ016,Speech,Speech MC1,Speech 2,0.009537542565851376,Speech
93,ADQ019,Speech,Speech MC1,Speech 2,-0.0006460179597275605,Speech
94,ADQ021,Speech,Speech MC1,Speech 2,0.006220139187513876,Speech
95,ADQ022,Speech,Speech MC1,Speech 2,0.004737958932731992,Speech
96,ADQ023,Speech,Speech MC1,Speech 2,-0.011172190310601572,Speech
97,ADQ024,Speech,Speech MC1,Speech 2,0.00757998169545547,Speech
98,ADQ025,Speech,Speech MC1,Speech 2,0.02311862298788292,Speech
99,ADQ026,Speech,Speech MC1,Speech 2,0.003794395132994618,Speech
100,ADQ027,Speech,Speech MC1,Speech 2,0.013932406677222014,Speech
101,ADQ028,Speech,Speech MC1,Speech 2,0.011554134505374916,Speech
102,ADQ029,Speech,Speech MC1,Speech 2,0.010201041796347877,Speech
103,ADQ030,Speech,Speech MC1,Speech 2,0.01644929915283008,Speech
104,ADQ031,Speech,Speech MC1,Speech 2,0.007765943837838162,Speech
105,ADQ032,Speech,Speech MC1,Speech 2,0.015541846126805873,Speech
106,ADQ033,Speech,Speech MC1,Speech 2,0.006227752304436831,Speech
107,ADQ034,Speech,Speech MC1,Speech 2,0.008253825121546253,Speech
108,ADQ035,Speech,Speech MC1,Speech 2,-0.0018031240015555622,Speech
109,ADQ036,Speech,Speech MC1,Speech 2,0.007039555972658356,Speech
110,ADQ037,Speech,Speech MC1,Speech 2,0.0032157668474920593,Speech
111,ADQ038,Speech,Speech MC1,Speech 2,-0.004812966530244607,Speech
112,ADQ040,Speech,Speech MC1,Speech 2,0.008535588835425253,Speech
113,ADQ041,Speech,Speech MC1,Speech 2,0.009354536053046385,Speech
114,ADQ042,Speech,Speech MC1,Speech 2,-0.00323011177196164,Speech
115,ADQ043,Speech,Speech MC1,Speech 2,0.012986674838089221,Speech
116,ADQ044,Speech,Speech MC1,Speech 2,0.015720800260758304,Speech
117,ADQ045,Speech,Speech MC1,Speech 2,0.012479644013650181,Speech
118,ADQ046,Speech,Speech MC1,Speech 2,0.0012905679944136533,Speech
119,ADQ047,Speech,Speech MC1,Speech 2,0.0034632627600665548,Speech
120,ADQ048,Speech,Speech MC1,Speech 2,-0.006205146563321733,Speech
121,ADQ049,Speech,Speech MC1,Speech 2,0.008670973076968529,Speech
122,ADQ050,Speech,Speech MC1,Speech 2,0.008038972862394656,Speech
123,ADQ051,Speech,Speech MC1,Speech 2,0.01552036439379093,Speech
124,ADQ052,Speech,Speech MC1,Speech 2,0.00892318366890526,Speech
125,ADQ053,Speech,Speech MC1,Speech 2,0.01028880023303385,Speech
126,ADQ054,Speech,Speech MC1,Speech 2,0.016396884811351944,Speech
127,ADQ055,Speech,Speech MC1,Speech 2,0.01017691569830445,Speech
128,ADQ056,Speech,Speech MC1,Speech 2,0.015774239206140656,Speech
129,ADQ057,Speech,Speech MC1,Speech 2,0.01622149398638838,Speech
130,ADQ058,Speech,Speech MC1,Speech 2,-0.003203791048443282,Speech
131,ADQ059,Speech,Speech MC1,Speech 2,-0.004385198339405227,Speech
132,ADQ060,Speech,Speech MC1,Speech 2,0.00942152227999807,Speech
133,ADQ061,Speech,Speech MC1,Speech 2,0.005702659484950838,Speech
134,ADQ062,Speech,Speech MC1,Speech 2,0.0029638541553333314,Speech
135,ADQ063,Speech,Speech MC1,Speech 2,0.013469461988659304,Speech
136,ADQ064,Speech,Speech MC1,Speech 2,0.004577906248461595,Speech
137,ADQ065,Speech,Speech MC1,Speech 2,0.02305272625533222,Speech
138,ADR067,Speech,Speech MC1,Speech 2,0.009677431187745436,Speech
139,ADR068,Speech,Speech MC1,Speech 2,0.015999824046385003,Speech
140,ADR069,Speech,Speech MC1,Speech 2,0.0044187007882945635,Speech
141,ADR070,Speech,Speech MC1,Speech 2,0.009198467014182216,Speech
142,ADR071,Speech,Speech MC1,Speech 2,0.002364048888383575,Speech
143,AEQ077,Speech,Speech MC1,Speech 2,0.006772313497482766,Speech
144,AEQ079,Speech,Speech MC1,Speech 2,0.008515245779562006,Speech
145,AEQ080,Speech,Speech MC1,Speech 2,0.013227812756324649,Speech
146,AEQ081,Speech,Speech MC1,Speech 2,-0.001441286507209186,Speech
147,AEQ082,Speech,Speech MC1,Speech 2,0.02001743435766,Speech
148,AEQ083,Speech,Speech MC1,Speech 2,0.021947479824932326,Speech
149,AEQ084,Speech,Speech MC1,Speech 2,-0.005696823746730276,Speech
150,AEQ085,Speech,Speech MC1,Speech 2,-0.004242814664409333,Speech
151,AEQ087,Speech,Speech MC1,Speech 2,0.0055472748987149155,Speech
152,AEQ088,Speech,Speech MC1,Speech 2,0.013596336625505856,Speech
153,AEQ089,Speech,Speech MC1,Speech 2,0.011861476444490425,Speech
154,AER090,Speech,Speech MC1,Speech 2,0.007911188606898474,Speech
155,ADQ001,Speech,Speech MC1,Speech 2,0.012665221505435998,Speech
156,ADQ003,Speech,Speech MC2,Speech 3,-0.02155036650466107,Speech
157,ADQ004,Speech,Speech MC2,Speech 3,0.11064003912289508,Speech
158,ADQ005,Speech,Speech MC2,Speech 3,0.038560664468529786,Speech
159,ADQ006,Speech,Speech MC2,Speech 3,-0.030968490353073,Speech
160,ADQ007,Speech,Speech MC2,Speech 3,0.015517570666997476,Speech
161,ADQ008,Speech,Speech MC2,Speech 3,0.08595361539016573,Speech
162,ADQ009,Speech,Speech MC2,Speech 3,0.01873316596653095,Speech
163,ADQ010,Speech,Speech MC2,Speech 3,0.08754910096332393,Speech
164,ADQ011,Speech,Speech MC2,Speech 3,0.024614927844152843,Speech
