,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
25,AEQ087,Speech,Speech 7,Speech 2,-0.0072256412731104055,0.03860776014122642,Speech,Speech
26,AEQ079,Speech,Speech 7,Speech 2,-0.016288707254602987,0.03526231518574545,Speech,Speech
27,ADQ029,Speech,Speech 7,Speech 2,-0.029539251228049596,0.04940852463665396,Speech,Speech
28,ADQ025,Speech,Speech 7,Speech 2,0.031455277976063095,0.04179237721100203,Speech,Speech
29,ADQ058,Speech,Speech 7,Speech 2,-0.002752224895725414,0.05932173395974491,Speech,Speech
30,ADQ044,Speech,Speech 7,Speech 2,0.02859872949367061,0.040180798926883456,Speech,Speech
31,ADQ035,Speech,Speech 7,Speech 2,0.0002215788863251945,0.0132536559353436,Speech,Speech
32,ADQ036,Speech,Speech 7,Speech 2,-0.003509340954081327,0.061734394848601985,Speech,Speech
33,AEQ088,Speech,Speech 7,Speech 2,0.02443975557921484,0.010175236503722773,Speech,Speech
34,AEQ081,Speech,Speech 7,Speech 2,0.025068333378827648,0.025750154084765844,Speech,Speech
35,ADQ003,Speech,Speech 7,Speech 2,-0.0025531471945312825,0.068467376262254,Speech,Speech
36,ADQ028,Speech,Speech 7,Speech 2,-0.012403007457895202,0.05536352716838043,Speech,Speech
37,ADQ033,Speech,Speech 7,Speech 2,0.006664204503030206,0.022830762328171276,Speech,Speech
38,ADQ001,Speech,Speech 7,Speech 2,0.028386735150035067,0.050435903898067805,Speech,Speech
39,ADQ054,Speech,Speech 7,Speech 2,0.013307008500569434,0.009197542977038816,Speech,Speech
40,ADQ011,Speech,Speech 7,Speech 2,0.015316063046847654,0.004402844453103078,Speech,Speech
41,ADQ061,Speech,Speech 7,Speech 2,-0.0008724955543162039,0.0009911845789208125,Speech,Speech
42,ADR067,Speech,Speech 7,Speech 2,-0.0008579685751104603,0.027822488080774182,Speech,Speech
43,AEQ080,Speech,Speech 7,Speech 2,-0.0025318296940567537,0.05513037063679716,Speech,Speech
44,ADQ014,Speech,Speech 7,Speech 2,0.023833293180047403,0.03903318623974184,Speech,Speech
45,ADQ040,Speech,Speech 7,Speech 2,0.00690865114168511,0.02497172618024589,Speech,Speech
46,ADQ062,Speech,Speech 7,Speech 2,-0.037489698957698075,0.03992589660683933,Speech,Speech
47,AEQ085,Speech,Speech 7,Speech 2,-0.025495306586635267,0.05250655317435669,Speech,Speech
48,ADQ052,Speech,Speech 7,Speech 2,0.03684696262001449,0.021991400733356578,Speech,Speech
49,ADQ056,Speech,Speech 7,Speech 2,0.005626836603573608,0.08723445490570164,Speech,Speech
50,ADQ012,Speech,Speech 7,Speech 2,0.011340875097770377,0.02142006273591562,Speech,Speech
51,ADQ022,Speech,Speech 7,Speech 2,0.03110265767668235,0.03307236070768107,Speech,Speech
52,ADQ037,Speech,Speech 7,Speech 2,-0.02643807815624747,0.06739778657750854,Speech,Speech
53,ADQ013,Speech,Speech 7,Speech 2,-0.00926617550443153,0.0017983381360579702,Speech,Speech
54,ADR071,Speech,Speech 7,Speech 2,0.011854744047032757,0.02030711542226233,Speech,Speech
55,ADQ055,Speech,Speech 7,Speech 2,-0.01705354230722894,0.060290554573404195,Speech,Speech
56,ADQ009,Speech,Speech 7,Speech 2,0.008780617483365259,0.02854346630249549,Speech,Speech
